hidden_layer_sizes,activation,learning_rate,lam,alpha,tol,batch_size,shuffle,max_iter,score
"[32, 32]",relu,0.01,0.0001,0.0,1e-05,64,True,3000,1.3065962216064408
"[64, 64]",relu,0.01,0.0,0.7,1e-05,32,True,3000,1.3088939194732718
"[32, 32]",relu,0.003,5e-05,0.7,1e-05,64,True,3000,1.309422459419424
"[32, 32]",relu,0.01,0.0001,0.0,1e-05,64,False,3000,1.3101468827408205
"[32, 32]",relu,0.1,0.0,0.9,1e-05,64,True,3000,1.3117729381862366
"[32, 32]",relu,0.001,0.0,0.0,1e-05,64,False,3000,1.317766102526111
"[32, 32]",relu,0.05,0.0,0.7,1e-05,64,True,3000,1.3219596652434806
"[64, 64]",relu,0.003,5e-05,0.0,1e-05,32,False,3000,1.324140118580059
"[32, 32]",relu,0.03,0.0,0.0,1e-05,32,True,3000,1.3241540934108391
"[64, 64]",relu,0.003,5e-05,0.0,1e-05,64,True,3000,1.3254709844628991
"[64, 64]",relu,0.05,0.0,0.0,1e-05,64,False,3000,1.3275484165322091
"[64, 64]",relu,0.003,5e-05,0.0,1e-05,64,False,3000,1.327903066924337
"[64, 64]",relu,0.03,0.0,0.9,1e-05,64,True,3000,1.3290917607403188
"[32, 32]",relu,0.1,0.0,0.0,1e-05,64,False,3000,1.329188746318685
"[64, 64]",relu,0.003,0.0001,0.9,1e-05,32,False,3000,1.33063483267119
"[64, 64]",relu,0.003,0.0001,0.9,1e-05,64,False,3000,1.3315182479559795
"[32, 32]",relu,0.003,5e-05,0.0,1e-05,64,False,3000,1.3320188708363534
"[64, 64]",relu,0.003,0.0001,0.7,1e-05,64,False,3000,1.332761889701775
